date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:40	145/145	---MCZ	200	added ('OK')	text/plain	date:Mon,%2004%20Mar%202024%2013:06:37%20GMT	https://kayke-rodrigues.pages.net.br/robots.txt		(from )
10:08:40	149339/149339	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:06:37%20GMT	https://kayke-rodrigues.pages.net.br/	C:/Users/Aluno/Desktop/landing2/landing2/kayke-rodrigues.pages.net.br/index.html	(from )
10:08:41	2690/2690	---M--	200	added ('OK')	image/png	etag:%22c0418fbdad13cb88db4dacddd111ad38%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170920719565e06e9b7bce6563972819.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170920719565e06e9b7bce6563972819.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:41	15673/15673	---M--	200	added ('OK')	image/png	etag:%2203d49e1f1b1a2462ee72a918613154df%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170920719565e06e9b88f62626241341.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170920719565e06e9b88f62626241341.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:41	14529/14529	---M--	200	added ('OK')	image/png	etag:%220d254a285aba5706f8648f9bab067b4c%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170921156606490636.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170921156606490636.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:42	9780/9780	---M--	200	added ('OK')	image/png	etag:%228928fa956f013322bb8adf90aba74069%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170921168386732267.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170921168386732267.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:42	17925/17925	---M--	200	added ('OK')	image/png	etag:%225d26616f681397e1d881c9d9b1d79501%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170921169946762884.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170921169946762884.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:42	30844/30844	---M--	200	added ('OK')	image/jpeg	etag:%2226fa81b1cca7db80eb1973fedfb92278%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929433086526914.jpeg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929433086526914.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:43	49635/49635	---M--	200	added ('OK')	image/jpeg	etag:%2276a589fac3b457ff7ec3614f0fea2630%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929460281225194.jpeg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929460281225194.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:43	69355/69355	---M--	200	added ('OK')	image/jpeg	etag:%22c7ac3560287da76268c8728d29c6229a%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929467123361818.jpeg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929467123361818.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:44	56427/56427	---M--	200	added ('OK')	image/jpeg	etag:%22ca4159719659217c20eac989d7331c00%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929471291085486.jpeg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929471291085486.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:45	32871/32871	---M--	200	added ('OK')	image/png	etag:%22a374a4db44383bf436fe5d87c04030b7%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929628626927956.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929628626927956.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:45	35904/35904	---M--	200	added ('OK')	image/jpeg	etag:%225109cc095fe5812f50eee52efdb1a218%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929477642148878.jpeg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929477642148878.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:45	39911/39911	---M--	200	added ('OK')	image/jpeg	etag:%2284983df0dc5ce924b4d5fba01ac5ba5c%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929645840478983.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929645840478983.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:46	48776/48776	---M--	200	added ('OK')	image/jpeg	etag:%22f78edf26f00e7bf530842e0222737c1d%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929648949629317.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929648949629317.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:46	11064/11064	---M--	200	added ('OK')	image/png	etag:%220394d5f0400e562ef55510d622e22551%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170921520282217633.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170921520282217633.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:47	11894/11894	---M--	200	added ('OK')	image/png	etag:%228abd510f0d45d2bbda0e8098b13c331d%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929075421139552.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929075421139552.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:47	10645/10645	---M--	200	added ('OK')	image/png	etag:%22ce261208efaa11514b210ef1344aca66%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929256149692241.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170929256149692241.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:48	9154/9154	---M--	200	added ('OK')	image/png	etag:%2240eadd0ee6899ccf89bd218ca53fa6e5%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_87503.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_87503.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:48	2559/2559	---M--	200	added ('OK')	image/jpeg	etag:%2208a1dfe964b029dfa8d9421654d251cf%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_13009.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_13009.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:49	2132/2132	---M--	200	added ('OK')	image/jpeg	etag:%22f78b3fe18a86b24727a8c5cf19278e8b%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_49254.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_49254.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:49	1570/1570	---M--	200	added ('OK')	image/jpeg	etag:%225ca706c7e1a8ab37d06e815bf7f7fffe%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_34062.jpeg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_34062.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:49	1967/1967	---M--	200	added ('OK')	image/jpeg	etag:%22f3b805ada50c57c1ef767a98187e4919%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_66408.jpeg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_66408.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:50	1367/1367	---M--	200	added ('OK')	image/jpeg	etag:%225177498ead3a75a32356cbd7bf0797a7%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_66515.jpg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_66515.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:50	1918/1918	---M--	200	added ('OK')	image/jpeg	etag:%22be63dd71b7af74d0a8902d7ffdcb64b0%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_69059.jpeg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_69059.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:50	2345/2345	---M--	200	added ('OK')	image/png	etag:%22079cded72174b14eca703893fea2f756%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170920719565e06e9b73b6b267421179.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/desktop/500053_1_170920719565e06e9b73b6b267421179.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:51	151/151	---M--	200	added ('OK')	image/png	etag:%22b8b3ed6c32f87ec0caa67bc3a133f2ac%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170920719565e06e9b7bce6563972819.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170920719565e06e9b7bce6563972819.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:51	6433/6433	---M--	200	added ('OK')	image/png	etag:%22b6131e940a4d77fe5113095654d137e4%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170920719565e06e9b88f62626241341.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170920719565e06e9b88f62626241341.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:52	4911/4911	---M--	200	added ('OK')	image/png	etag:%229db80744c6989de0db9cbe5bb8928f64%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170921156606490636.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170921156606490636.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:52	3413/3413	---M--	200	added ('OK')	image/png	etag:%2292cd26635122400ac2ff0687fe36b355%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170921168386732267.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170921168386732267.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:52	5639/5639	---M--	200	added ('OK')	image/png	etag:%22b59fd60a23586d9e42add9a816a4c1ac%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170921169946762884.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170921169946762884.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:53	17497/17497	---M--	200	added ('OK')	image/jpeg	etag:%2269fa8e44909a6032ec86fcf0252ac4f2%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929433086526914.jpeg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929433086526914.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:54	16350/16350	---M--	200	added ('OK')	image/jpeg	etag:%22ee3468ca2281384a8812bc90358ceb85%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929460281225194.jpeg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929460281225194.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:54	23131/23131	---M--	200	added ('OK')	image/jpeg	etag:%22e035402af8b26e7934242f01ee4ca94f%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929467123361818.jpeg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929467123361818.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:55	15943/15943	---M--	200	added ('OK')	image/jpeg	etag:%2293b6bfdb7b1b0f01a9a892ce4f7c3ab8%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929471291085486.jpeg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929471291085486.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:55	9339/9339	---M--	200	added ('OK')	image/jpeg	etag:%22a196a6e20f89c18722e288626691268e%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929477642148878.jpeg	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929477642148878.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:55	15538/15538	---M--	200	added ('OK')	image/jpeg	etag:%22abbed0da2c53c10a13b674deb15736e5%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929628626927956.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929628626927956.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:56	11615/11615	---M--	200	added ('OK')	image/jpeg	etag:%22006f04715989d943fbebd84b2b81a0b5%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929645840478983.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929645840478983.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:56	11617/11617	---M--	200	added ('OK')	image/jpeg	etag:%22184e67feca78775dc10ef918cffcfd4d%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929648949629317.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929648949629317.jpg	(from https://kayke-rodrigues.pages.net.br/)
10:08:57	5283/5283	---M--	200	added ('OK')	image/png	etag:%2213defc2f47066eb65b4835bf683b75fc%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170921520282217633.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170921520282217633.png	(from https://kayke-rodrigues.pages.net.br/)
10:08:57	5604/5604	---M--	200	added ('OK')	image/png	etag:%22b8e9145afec1704b47a5e56d87ad3300%22	https://cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929075421139552.png	C:/Users/Aluno/Desktop/landing2/landing2/cdn.greatpages.com.br/kayke-rodrigues.pages.net.br/1709557181/imagens/mobile/500053_1_170929075421139552.png	(from https://kayke-rodrigues.pages.net.br/)
